customer_id,first_name,last_name,email,phone_number,address,city,state,country,zip_code,signup_date,last_login,total_bookings,total_spent,preferred_language,referral_code,account_status
1,Larry,Peterson,rstokes@collins-parker.com,001-399-427-0570x2976,"9922 Erin Harbor, Justinchester, NY 66831",Mariefurt,Hawaii,Djibouti,89182,2025-04-30,2025-08-09T22:11:34.0000000,4,506.97,Spanish,dMbp-28297,Suspended
87,Michael,Walker,mfitzgerald@hotmail.com,654-938-7559,"PSC 4079, Box 7108, APO AP 15257",South Matthewland,Arkansas,Nauru,71944,2025-07-31,2025-08-13T02:59:19.0000000,14,3817.17,Chinese,Keem-06316,Active
2,Tyler,Arnold,derekchandler@carter.com,142-078-4315,"5405 Jorge Loop Apt. 939, Lake Stanleybury, MS 78010",Port Christian,North Carolina,Gabon,61511,2025-03-14,2025-08-15T02:02:11.0000000,12,4752.24,French,cfMi-48727,Active
88,Christopher,Wright,zobrien@yahoo.com,751-766-0715x194,"4037 Watson Parkways, Newmanton, ID 55244",Lake Brian,Wisconsin,Georgia,59296,2025-06-20,2025-08-04T10:45:55.0000000,11,2944.83,German,ylwQ-39710,Suspended
3,Brandon,Mcfarland,icampbell@hotmail.com,+1-668-232-1170x027,"PSC 2785, Box 6050, APO AP 31064",Kathyport,Mississippi,Marshall Islands,07883,2025-02-27,2025-08-28T16:52:01.0000000,14,3287.29,French,pBRK-79372,Suspended
89,Michael,Noble,craigharris@yahoo.com,316-504-2039,"02522 Sutton Plains, East Matthew, ID 92417",Baldwinfurt,Alabama,Benin,31097,2025-08-20,2025-08-09T02:17:54.0000000,11,2547.45,French,fcci-04940,Inactive
4,Jose,Delgado,amberjames@yahoo.com,001-391-546-0054x651,"2845 Lin Rue Suite 069, West Jeffreystad, NJ 14256",Phyllisbury,California,San Marino,53042,2025-05-17,2025-08-24T02:02:40.0000000,12,329.61,French,lieW-71867,Suspended
90,Dean,Bailey,xdavid@hotmail.com,1469908352,"511 Santos Park, Davidtown, DC 54620",Robertsonmouth,Massachusetts,Vanuatu,19595,2025-04-29,2025-08-10T13:06:31.0000000,10,2487.67,Chinese,CpWT-53009,Suspended
5,Charles,Payne,kathyanderson@harrell.com,(156)715-3788,"017 Jenkins Loop Apt. 441, South Emily, OK 78640",Emilyland,Georgia,Cambodia,95382,2025-03-26,2025-08-10T05:54:15.0000000,9,4061.82,English,ZOTb-36233,Suspended
91,James,Peterson,kurtsingleton@hanson-davis.net,153-102-1445,"71699 Strickland Trafficway Apt. 793, South Davidborough, HI 93566",West Ericshire,Michigan,Kyrgyz Republic,76931,2025-03-15,2025-08-14T03:28:05.0000000,8,3001.56,French,yaKd-52148,Active
6,Monica,Grant,aporter@carlson.com,718-065-4720x242,"112 William Fields Suite 499, Lake Brendafurt, MS 49612",Nicholsbury,Nebraska,Nicaragua,29613,2025-03-30,2025-08-17T01:47:34.0000000,3,4703.81,Spanish,xQEt-01214,Inactive
92,Anna,Meyer,katelyntaylor@hotmail.com,+1-687-001-3791,"PSC 5238, Box 5741, APO AP 70159",Yvonnefort,Washington,Finland,84338,2025-02-22,2025-08-24T03:51:22.0000000,8,3940.50,Chinese,ZxMv-93416,Inactive
